// File BallMazeTileRom.txt
//
// Map of tiles 32 wide by 32 high, with 10 bits per tile shown in hexadecimal.
// Bits 9:4 of each tile location point to which 8x8 tile to use in PacManTileSet.txt
// Bits 3:0 of each tile location contain whether a wall is in an adjacent tile above, right, below, or left of a sprite path.
// Only the center 28 columns are to be displayed, and the bottom row contains nothing to be displayed.


//  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
// -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
00 00 03 07 07 07 07 07 07 07 07 07 07 07 07 0B 0C 07 07 07 07 07 07 07 07 07 07 07 07 04 00 00 //  0
00 00 08 00 00 00 00 00 00 00 00 00 00 00 00 19 1A 00 00 00 00 00 00 00 00 00 00 00 00 09 00 00 //  1
00 00 08 00 15 1C 1C 16 00 15 1C 1C 1C 16 00 19 1A 00 15 1C 1C 1C 16 00 15 1C 1C 16 00 09 00 00 //  2
00 00 08 00 19 00 00 1A 00 19 00 00 00 1A 00 19 1A 00 19 00 00 00 1A 00 19 00 00 1A 00 09 00 00 //  3
00 00 08 00 17 1B 1B 18 00 17 1B 1B 1B 18 00 17 18 00 17 1B 1B 1B 18 00 17 1B 1B 18 00 09 00 00 //  4
00 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 09 00 00 //  5
00 00 08 00 15 1C 1C 16 00 15 16 00 15 1C 1C 1C 1C 1C 1C 16 00 15 16 00 15 1C 1C 16 00 09 00 00 //  6
00 00 08 00 17 1B 1B 18 00 19 1A 00 17 1B 1B 1F 1E 1B 1B 18 00 19 1A 00 17 1B 1B 18 00 09 00 00 //  7
00 00 08 00 00 00 00 00 00 19 1A 00 00 00 00 19 1A 00 00 00 00 19 1A 00 00 00 00 00 00 09 00 00 //  8
00 00 06 0A 0A 0A 0A 16 00 19 20 1C 1C 16 00 19 1A 00 15 1C 1C 21 1A 00 15 0A 0A 0A 0A 05 00 00 //  9
00 00 00 00 00 00 00 08 00 19 1E 1B 1B 18 00 17 18 00 17 1B 1B 1F 1A 00 09 00 00 00 00 00 00 00 // 10
00 00 00 00 00 00 00 08 00 19 1A 00 00 00 00 00 00 00 00 00 00 19 1A 00 09 00 00 00 00 00 00 00 // 11
00 00 00 00 00 00 00 08 00 19 1A 00 11 0A 22 00 00 23 0A 12 00 19 1A 00 09 00 00 00 00 00 00 00 // 12
07 07 07 07 07 07 07 18 00 17 18 00 09 00 00 00 00 00 00 08 00 17 18 00 17 07 07 07 07 07 07 07 // 13
00 00 00 00 00 00 00 00 00 00 00 00 09 00 00 00 00 00 00 08 00 00 00 00 00 00 00 00 00 00 00 00 // 14
0A 0A 0A 0A 0A 0A 0A 16 00 15 16 00 09 00 00 00 00 00 00 08 00 15 16 00 15 0A 0A 0A 0A 0A 0A 0A // 15
00 00 00 00 00 00 00 08 00 19 1A 00 13 07 07 07 07 07 07 14 00 19 1A 00 09 00 00 00 00 00 00 00 // 16
00 00 00 00 00 00 00 08 00 19 1A 00 00 00 00 00 00 00 00 00 00 19 1A 00 09 00 00 00 00 00 00 00 // 17
00 00 00 00 00 00 00 08 00 19 1A 00 15 1C 1C 1C 1C 1C 1C 16 00 19 1A 00 09 00 00 00 00 00 00 00 // 18
00 00 03 07 07 07 07 18 00 17 18 00 17 1B 1B 1F 1E 1B 1B 18 00 17 18 00 17 07 07 07 07 04 00 00 // 19
00 00 08 00 00 00 00 00 00 00 00 00 00 00 00 19 1A 00 00 00 00 00 00 00 00 00 00 00 00 09 00 00 // 20
00 00 08 00 15 1C 1C 16 00 15 1C 1C 1C 16 00 19 1A 00 15 1C 1C 1C 16 00 15 1C 1C 16 00 09 00 00 // 21
00 00 08 00 17 1B 1F 1A 00 17 1B 1B 1B 18 00 17 18 00 17 1B 1B 1B 18 00 19 1E 1B 18 00 09 00 00 // 22
00 00 08 00 00 00 19 1A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 19 1A 00 00 00 09 00 00 // 23
00 00 0D 1C 16 00 19 1A 00 15 16 00 15 1C 1C 1C 1C 1C 1C 16 00 15 16 00 19 1A 00 15 1C 0F 00 00 // 24
00 00 0E 1B 18 00 17 18 00 19 1A 00 17 1B 1B 1F 1E 1B 1B 18 00 19 1A 00 17 18 00 17 1B 10 00 00 // 25
00 00 08 00 00 00 00 00 00 19 1A 00 00 00 00 19 1A 00 00 00 00 19 1A 00 00 00 00 00 00 09 00 00 // 26
00 00 08 00 15 1C 1C 1C 1C 21 20 1C 1C 16 00 19 1A 00 15 1C 1C 21 20 1C 1C 1C 1C 16 00 09 00 00 // 27
00 00 08 00 17 1B 1B 1B 1B 1B 1B 1B 1B 18 00 17 18 00 17 1B 1B 1B 1B 1B 1B 1B 1B 18 00 09 00 00 // 28
00 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 09 00 00 // 29
00 00 06 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 0A 05 00 00 // 30
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 // 31
